Pathway	Mean_Control_CLR	Mean_Case_CLR	Log2_Fold_Change	Enrichment
ko05219	0.5313421795359534	1.835512341250903	1.3041701617149495	Enriched in Responder (Case)
ko00140	4.278841807054335	3.5179929560576118	-0.7608488509967235	Enriched in Non-responder (Control)
ko00361	2.5714373025718493	3.058982904889327	0.48754560231747757	Enriched in Responder (Case)
ko05161	-2.4784155046948153	-2.963586715152958	-0.4851712104581427	Enriched in Non-responder (Control)
ko04964	5.839874874502486	5.472246584872527	-0.36762828962995986	Enriched in Non-responder (Control)
ko02060	7.0841642248457415	7.275891656678975	0.19172743183323337	Enriched in Responder (Case)
ko00621	3.6293983889060546	3.7985370647597403	0.1691386758536857	Enriched in Responder (Case)
ko00565	3.762582825629836	3.6370858581093706	-0.12549696752046557	Enriched in Non-responder (Control)
ko00120	6.157267083364564	6.0487969597509315	-0.10847012361363273	Enriched in Non-responder (Control)
ko05418	7.409212585510952	7.30314498103949	-0.10606760447146169	Enriched in Non-responder (Control)
ko01220	6.882726703038357	6.980975864714392	0.09824916167603437	Enriched in Responder (Case)
ko03010	9.25041101347185	9.177827367803037	-0.07258364566881248	Enriched in Non-responder (Control)
ko02040	7.501080049300286	7.431961148308042	-0.06911890099224394	Enriched in Non-responder (Control)
ko01053	5.241868153819863	5.17459150638405	-0.06727664743581308	Enriched in Non-responder (Control)
ko00970	9.863040757152852	9.798209941609105	-0.06483081554374692	Enriched in Non-responder (Control)
